,Código,Cod,Nome Comercial,Div. Yeld,P/VP
435,GAFP4,"""GAFP4"",",CIMOB,"0,0%","-0,0"
436,GALO3,"""GALO3"",",EMEEGE ESCAPAMENTOS,"0,0%","0,00"
437,GALO4,"""GALO4"",",EMEEGE ESCAPAMENTOS,"0,0%","0,00"
438,GAZO3,"""GAZO3"",",GAZOLA SA INDÚSTRIA METALURGICA,"0,0%","-0,0"
439,GAZO4,"""GAZO4"",",GAZOLA SA INDÚSTRIA METALURGICA,"0,0%","-0,0"
440,GBIO33,"""GBIO33"",",BIOTOSCANA,"0,0%","1,32"
441,GEPA3,"""GEPA3"",","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA","8,9%","1,63"
442,GEPA4,"""GEPA4"",","DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA","8,9%","1,63"
443,GETI3,"""GETI3"",",AES TIETE SA,"0,0%","3,44"
444,GETI4,"""GETI4"",",AES TIETE SA,"0,0%","3,44"
445,GETT3,"""GETT3"",",GETNET BR,"0,0%","0,89"
446,GETT4,"""GETT4"",",GETNET BR,"0,0%","0,92"
447,GFSA3,"""GFSA3"",",GAFISA,"0,0%","0,40"
448,GGBR3,"""GGBR3"",",GERDAU S.A.,"13,2","0,97"
449,GGBR4,"""GGBR4"",",GERDAU S.A.,"10,6","1,21"
450,GGPS3,"""GGPS3"",",GPS,"1,1%","5,05"
451,GLOB4,"""GLOB4"",",VIA,"0,0%","8,59"
452,GMAT3,"""GMAT3"",",GRUPO MATEUS,"0,0%","2,11"
453,GNDI3,"""GNDI3"",",INTERMEDICA,"0,4%","6,18"
454,GOAU3,"""GOAU3"",",METALÚRGICA GERDAU,"22,1","0,76"
455,GOAU4,"""GOAU4"",",METALÚRGICA GERDAU,"19,5","0,86"
456,GOLL4,"""GOLL4"",",GOL LINHAS AEREAS INTELIGENTES SA,"0,0%","-0,3"
457,GPAR3,"""GPAR3"",",CELGPAR,"1,2%","2,10"
458,GPIV33,"""GPIV33"",","GP INVESTMENTS, LTD","0,0%","0,29"
459,GRND3,"""GRND3"",",GRENDENE SA,"9,6%","2,00"
460,GRNL4,"""GRNL4"",",GRANÓLEO S/A,"0,0%","1,07"
461,GSHP3,"""GSHP3"",",Generalshopp,"0,0%","-0,0"
462,GUAR3,"""GUAR3"",",GUARARAPES CONFECÇÕES,"3,4%","1,24"
463,GUAR4,"""GUAR4"",",GUARARAPES CONFECÇÕES,"0,0%","14,6"
464,GVTT3,"""GVTT3"",",GVT HOLDING,"0,0%","3,68"
465,HAGA3,"""HAGA3"",",HAGA,"0,0%","-1,5"
466,HAGA4,"""HAGA4"",",HAGA,"0,0%","-0,3"
467,HAPV3,"""HAPV3"",",HAPVIDA,"0,3%","4,58"
468,HBOR3,"""HBOR3"",",Helbor,"1,1%","0,43"
469,HBRE3,"""HBRE3"",",HBR REALTY,"0,0%","0,47"
470,HBSA3,"""HBSA3"",",HIDROVIAS,"0,0%","1,50"
471,HBTS5,"""HBTS5"",",CIA HABITASUL,"0,4%","0,77"
472,HETA3,"""HETA3"",",HERCULES S/A,"0,0%","-0,0"
473,HETA4,"""HETA4"",",HERCULES S/A,"0,0%","-0,0"
474,HGTX3,"""HGTX3"",",CIA HERING,"0,3%","3,57"
475,HGTX4,"""HGTX4"",",CIA HERING,"0,0%","0,92"
476,HOOT4,"""HOOT4"",",HOTEIS OTHON S.A.,"0,0%","-0,1"
477,HYPE3,"""HYPE3"",",HYPERA,"4,0%","2,02"
478,ICPI3,"""ICPI3"",",CIMENTO ITAU CORUMBA,"0,0%","0,00"
479,IDVL11,"""IDVL11"",",Indusval,"0,0%","60,5"
480,IDVL3,"""IDVL3"",",Indusval,"0,0%","0,93"
