Código,Cod,Nome Comercial,Div. Yeld,P/VP
CNFB4,"""CNFB4"",",CONFAB,,
COCE3,"""COCE3"",",CIA ENERG CEARA - COELCE,,
COCE5,"""COCE5"",",CIA ENERG CEARA - COELCE,,
COCE6,"""COCE6"",",CIA ENERG CEARA - COELCE,,
COGN3,"""COGN3"",",COGNA,,
CORR3,"""CORR3"",",CORREA RIBEIRO SA COM. IND.,,
CORR4,"""CORR4"",",CORREA RIBEIRO SA COM. IND.,,
CPFE3,"""CPFE3"",",CPFL ENERGIA S.A.,,
CPFG3,"""CPFG3"",",CPFL GERAÇÂO DE ENERGIA S/A,,
CPFG4,"""CPFG4"",",CPFL GERAÇÂO DE ENERGIA S/A,,
CPFP4,"""CPFP4"",",CPFL - PIRATININGA,,
CPLE11,"""CPLE11"",",COPEL,,
CPLE3,"""CPLE3"",",COPEL,,
CPLE5,"""CPLE5"",",COPEL,,
CPLE6,"""CPLE6"",",COPEL,,
CPNY3,"""CPNY3"",",COMPANY S/A,,
CPRE3,"""CPRE3"",",CPFL RENOVAV,,
CPSL3,"""CPSL3"",",COPESUL,,
CRBM3,"""CRBM3"",",CARAÍBA METAIS S.A,,
CRBM7,"""CRBM7"",",CARAÍBA METAIS S.A,,
CRDE3,"""CRDE3"",",CR2,,
CREM3,"""CREM3"",",CREMER S.A.,,
CREM4,"""CREM4"",",CREMER S.A.,,
CRFB3,"""CRFB3"",",CARREFOUR BR,,
CRIV3,"""CRIV3"",",ALFA FINANCEIRA,,
CRIV4,"""CRIV4"",",ALFA FINANCEIRA,,
CRPG3,"""CRPG3"",",CRISTAL,,
CRPG5,"""CRPG5"",",CRISTAL,,
CRPG6,"""CRPG6"",",CRISTAL,,
CRTP3,"""CRTP3"",",CELULAR CRT PARTICIPAÇÕES S/A,,
CRTP5,"""CRTP5"",",CELULAR CRT PARTICIPAÇÕES S/A,,
CRUZ3,"""CRUZ3"",",SOUZA CRUZ,,
CSAB3,"""CSAB3"",",COMPANHIA DE SEGUROS ALIANÇA DA BAHIA,,
CSAB4,"""CSAB4"",",COMPANHIA DE SEGUROS ALIANÇA DA BAHIA,,
CSAN3,"""CSAN3"",",COSAN SA INDUSTRIA E COMERCIO,,
CSED3,"""CSED3"",",CRUZEIRO EDU,,
CSMG3,"""CSMG3"",",COPASA MG,,
CSNA3,"""CSNA3"",",CSN,,
CSPC3,"""CSPC3"",",COSIPA,,
CSPC4,"""CSPC4"",",COSIPA,,
CSRN3,"""CSRN3"",",COSERN,,
CSRN5,"""CSRN5"",",COSERN,,
CSRN6,"""CSRN6"",",COSERN,,
CSTB3,"""CSTB3"",",COMPANHIA SIDERÚRGICA DE TUBARÃO,,
CSTB4,"""CSTB4"",",COMPANHIA SIDERÚRGICA DE TUBARÃO,,
CTIP3,"""CTIP3"",",CETIP,,
CTKA3,"""CTKA3"",",KARSTEN,,
